Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Qma.almaty,бутик женской одежды,Обувные магазины; Женская одежда; Мужская одежда,"4-й микрорайон, 10а",35Б бутик; 2 этаж,050062,4-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87029352111,,,,,,,https://instagram.com/qma.almaty,,,,https://wa.me/77013086498,,,,,,43.225487,76.859943,https://2gis.com/firm/70000001084312853
Victoria,салон обуви,Обувные магазины; Сумки / Кожгалантерея,"проспект Абая, 65",1 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,18,87272924243,,,,,,,,,,,,,,,,,43.241986,76.934871,https://2gis.com/firm/9429940000894202
La Scala,"магазин женской, мужской обуви и сумок",Обувные магазины; Сумки / Кожгалантерея,"4-й микрорайон, 10а",69 бутик; 3 этаж,050062,4-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,,,,,,,,https://instagram.com/la_skala_almaty,,,,,,,,,,43.225487,76.859943,https://2gis.com/firm/70000001084317086
Venezia ,магазин женской одежды и аксессуаров,Обувные магазины; Женская одежда; Сумки / Кожгалантерея,"4-й микрорайон, 10а",63-65 бутик; 3 этаж,050062,4-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87476357045,,,,,,,https://instagram.com/venezia_tigrohaud,,,,,,,,,,43.225487,76.859943,https://2gis.com/firm/70000001084317088
Assata,интернет-магазин детской одежды,Обувные магазины; Детская одежда; Игрушки; Товары для беременных / Товары для кормящих мам,"улица Тимирязева, 81",цокольный этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,,,87077588758,87078609360,,,,,,https://instagram.com/__assata__,,,,https://wa.me/77077588758,https://wa.me/77078609360,,,,,43.22607,76.904445,https://2gis.com/firm/70000001052589725
Step`S,салон обуви,Обувные магазины,"улица Тимирязева, 73",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,3.0,6,87272753149,87272493431,,,,,,https://instagram.com/step_s17,,,,,,,,,,43.2262,76.907638,https://2gis.com/firm/9429940000850695
Aibo,интернет-магазин,Обувные магазины; Женская одежда; Мужская одежда; Детская одежда,,,,,,Алматы,,Алматы,Казахстан,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00,+05:00,,,87078394923,,,,,http://tao-aibo.kz,,https://instagram.com/tao.aibo.kz,,,,https://wa.me/77078394923,,,,,,,,https://2gis.com/firm/70000001044708418
Fashion-outlet zatolux,аутлет,Обувные магазины; Женская одежда; Мужская одежда; Детская одежда; Сумки / Кожгалантерея,"проспект Сейфуллина, 498/1",цокольный этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.4,5,87073150100,,,,,http://zatolux.com,http://tiktok.com/@zatolux,https://instagram.com/outlet_zatolux,,,,https://wa.me/77073150100,,,,,,43.251868,76.933267,https://2gis.com/firm/70000001036024452
Flo,бутик обуви,Обувные магазины; Сумки / Кожгалантерея,"Ташкентский тракт, 17к",1 этаж,040916,,,Алматы,Карасайский район,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.1,16,,,,,,http://flo.com.tr,,https://instagram.com/floshoes.kz,,https://facebook.com/FLOShoesKazakhstan,,,,,,,,43.233225,76.77624,https://2gis.com/firm/70000001021486748
Reece Brand,магазин женской одежды,Обувные магазины; Женская одежда; Детская одежда; Бижутерия; Сумки / Кожгалантерея,"микрорайон Самал-1, 9а","130, 239-240 бутик; 1, 2 этаж",050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.4,82,,,,,,,,https://instagram.com/reece.almaty,,,,https://wa.me/77027778629,,,,,,43.234604,76.955702,https://2gis.com/firm/70000001035811631
LuxuryZone,магазин женской одежды,Обувные магазины; Женская одежда; Верхняя одежда,"микрорайон Казахфильм, 37",,050023,Казахфильм м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,3.4,28,87013380407,,,,,,,https://instagram.com/luxuryzonne,,,,https://wa.me/77013380407,,,,,,43.198388,76.907183,https://2gis.com/firm/70000001057372208
Diamond_shoes,бутик обуви,Обувные магазины,"улица Тимирязева, 42",221 бутик; 1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,,,,,,,,,,https://instagram.com/diamond_shoes_lady_kz,,,,https://wa.me/77056602318,,,,,,43.225104,76.910483,https://2gis.com/firm/70000001081108360
kari,"магазин обуви, аксессуаров и ювелирных изделий",Обувные магазины; Сумки / Кожгалантерея; Бижутерия; Головные / шейные уборы,"шоссе Северное Кольцо, 3",1 этаж,050058,,Жетысуский район,Алматы,,Алматы,Казахстан,Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,2.6,9,88000801919 (горячая линия: круглосуточно),,,,,http://kz.kari.com,,https://instagram.com/kari_club,,,https://vk.com/kariclub,,,,,https://t.me/kariofficial,https://youtube.com/shopkari,43.2803,76.8883,https://2gis.com/firm/70000001066737261
Fashion da dao,онлайн-магазин,Обувные магазины; Часы / Аксессуары,"улица Гоголя, 39",218 офис; 2 этаж,050002,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,,,87078251306,,,,,,,,,,,https://wa.me/77078251306,,,,,,43.260999,76.956548,https://2gis.com/firm/70000001079721154
DS Premium Boutique,бутик мужской одежды и обуви,Обувные магазины; Мужская одежда; Сумки / Кожгалантерея,"улица Розыбакиева, 388/Б2",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.2,5,87475851385,,,,,http://dspremium.boutique,,https://instagram.com/ds_premium_boutique,,,,https://wa.me/77475851385,,,,,,43.197418,76.894678,https://2gis.com/firm/70000001056694503
Ait,салоны итальянской обуви,Обувные магазины; Сумки / Кожгалантерея,"улица Розыбакиева, 263",2 этаж; левое крыло; бутик Fabiani,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.6,32,87789783825,,,,,http://aitshoes.kz,,https://instagram.com/ait_shoes,,,,https://wa.me/77010840220,,,,,,43.200182,76.892398,https://2gis.com/firm/70000001046537173
Lady Boutique,магазин женской обуви,Обувные магазины,"10-й микрорайон, 3Б",1 бутик; 1 этаж,050035,10 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,2.2,22,87081922221,,,,,,,https://instagram.com/lady_boutique.kz,,,,https://wa.me/77081922221,,,,,,43.22077,76.86898,https://2gis.com/firm/70000001026935826
Jack & Jones,магазин мужской одежды,Обувные магазины; Мужская одежда; Верхняя одежда; Сумки / Кожгалантерея,"улица Розыбакиева, 263",2 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.9,29,87273442136,,,,,union-space.com/ https://www.colins.ru/,,https://instagram.com/jackjoneskz,,https://facebook.com/JackJonesKazakhstan,https://vk.com/jack_jones_kz,,,,,,,43.200586,76.892735,https://2gis.com/firm/9429940001300618
Glasman,"магазин мужской одежды, обуви и аксессуаров",Обувные магазины; Мужская одежда; Верхняя одежда; Сумки / Кожгалантерея,"проспект Райымбека, 514а",2 этаж,050031,Аксай-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.3,14,87273435061,,,,,,,https://instagram.com/glasman.kz,,,,https://wa.me/77007765760,,,,,,43.244667,76.835902,https://2gis.com/firm/70000001022904964
Faberlic,дистрибьюторская компания,Обувные магазины; Косметика / Парфюмерия; Биологически активные добавки (БАД); Нижнее бельё; Детская одежда,"улица Каныша Сатпаева, 29д",107 офис; 1 этаж,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 11:00-19:00; Ср: 11:00-19:00; Пт: 11:00-19:00,+05:00,,,87018949698,87014010313,,,,,,,,,,https://wa.me/77018949698,https://wa.me/77014010313,,,,,43.236837,76.911283,https://2gis.com/firm/9429940001356711
Zamani,бутик мужской одежды,Обувные магазины; Мужская одежда,"улица Байтурсынова, 56Б/1",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-03:00; Вт: 10:00-03:00; Ср: 10:00-03:00; Чт: 10:00-03:00; Пт: 10:00-03:00; Сб: 10:00-03:00; Вс: 10:00-03:00,+05:00,,,87755148846,87759513266,87055148846,,,,,https://instagram.com/zamani.er,,,,https://wa.me/77055148846,,,,,,43.249451,76.926533,https://2gis.com/firm/70000001082670827
Stradivarius,бутик одежды и аксессуаров,Обувные магазины; Женская одежда; Сумки / Кожгалантерея; Бижутерия; Головные / шейные уборы,"проспект Сейфуллина, 483",1 этаж,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.2,22,87273528503,,,,,,,,,,,,,,,,,43.263888,76.929608,https://2gis.com/firm/9429940001692740
LC Waikiki,,Обувные магазины; Женская одежда; Детская одежда; Сумки / Кожгалантерея; Товары для новорождённых,"проспект Райымбека, 514а",2 этаж,050031,Аксай-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.0,1,87013489057,,,,,http://lcwaikiki.kz,,https://instagram.com/lcwaikiki.cis,,https://facebook.com/LCWaikikiKazakhstan,,https://wa.me/77013489057,,,,,,43.244497,76.836485,https://2gis.com/firm/70000001081238801
kari Гипер,"магазин обуви, аксессуаров и товаров для детей",Обувные магазины; Сумки / Кожгалантерея; Бижутерия; Детская обувь,"проспект Суюнбая, 2 к3",3 этаж,050016,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:30; Вт: 10:00-20:30; Ср: 10:00-20:30; Чт: 10:00-20:30; Пт: 10:00-20:30; Сб: 10:00-20:30; Вс: 10:00-20:30,+05:00,2.7,72,88000801919 (горячая линия: круглосуточно),,,,,http://kz.kari.com,,https://instagram.com/kari_club,,,https://vk.com/kariclub,,,,,https://t.me/kariofficial,https://youtube.com/shopkari,43.27113,76.949229,https://2gis.com/firm/70000001030206281
Sneakerigo,магазин обуви,Обувные магазины; Спортивная одежда / обувь; Мужская одежда,"6-й микрорайон, 6",1 этаж,050036,6-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.7,3,87051474855,,,,,http://tiktok.com/@sneakerigo,,https://instagram.com/sneakerigo.kz,,,,https://wa.me/77051474855,,,,,,43.221393,76.854825,https://2gis.com/firm/70000001059671367
keipker,магазин обуви,Обувные магазины,"улица Макатаева, 127Б",2 этаж,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+05:00,3.3,38,87029577773,,,,,,,https://instagram.com/keipker__kz,,,,https://wa.me/77007708370,https://wa.me/77029577773,,,,,43.263168,76.930446,https://2gis.com/firm/70000001065617724
MiSter,магазин обуви,Обувные магазины,"проспект Сейфуллина, 617",,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.4,7,,,,,,,,,,,,,,,,,,43.234151,76.93556,https://2gis.com/firm/70000001041074747
Fast Step,магазин,Обувные магазины; Сумки / Кожгалантерея,"улица Кабдолова, 1/4",8 бутик; Н линия,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.8,22,87473986525,87771136612,,,,http://faststep.kz,,https://instagram.com/faststep.kz,,https://facebook.com/faststepGB,,https://wa.me/77472377097,,,,https://t.me/+77473986525,https://youtube.com/FastStepShoes,43.238556,76.850987,https://2gis.com/firm/70000001058703896
Women_shoes,магазин женской обуви,Обувные магазины,"шоссе Северное Кольцо, 3/1",166 бутик; 1 этаж; желтый сектор,050058,,Жетысуский район,Алматы,,Алматы,Казахстан,Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00; Вс: 10:00-17:00,+05:00,,,87071186663,,,,,,,,,,,https://wa.me/77071186663,,,,,,43.27654,76.887683,https://2gis.com/firm/70000001082988900
Miss,бутик женской обуви,Обувные магазины; Сумки / Кожгалантерея,"улица Жолдасбекова, 9а",114 бутик; 1 этаж,050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87029577513,,,,,,,https://instagram.com/obyv_miss_almaty,,,,https://wa.me/77029577513,,,,,,43.234604,76.955702,https://2gis.com/firm/70000001037239354
Smik,"магазин женской обуви, одежды и аксессуаров",Обувные магазины; Солнцезащитные очки; Сумки / Кожгалантерея,"10-й микрорайон, 2в","1, 2 этаж",050035,10 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.7,97,87056011997,,,,,,,https://instagram.com/smik_kz_obuv,,,,https://wa.me/77056011997,,,,,,43.22046,76.868567,https://2gis.com/firm/70000001033414895
RN shop,Магазин одежды,Обувные магазины; Женская одежда; Мужская одежда; Детская одежда,"улица Емцова, 7",1 этаж,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,3.1,11,87071444490,,,,,,,https://instagram.com/optom_090,,,,https://wa.me/77071444490,,,,,,43.256903,76.862412,https://2gis.com/firm/70000001032350103
Solo Italia,бутик обуви,Обувные магазины; Сумки / Кожгалантерея,"шоссе Северное Кольцо, 3/1",187 бутик; зеленый сектор; 1 этаж,050058,,Жетысуский район,Алматы,,Алматы,Казахстан,Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,87757725526,,,,,,,https://instagram.com/soloitalia.boutique,,,,https://wa.me/77757725526,,,,,,43.277163,76.887785,https://2gis.com/firm/70000001037794891
Ажиотаж,магазин немецкой обуви,Обувные магазины,"улица Тимирязева, 79",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.1,7,87012046961,87778391356,,,,,,,,,,https://wa.me/77012046961,https://wa.me/77778391356,,,,,43.226045,76.905384,https://2gis.com/firm/70000001055166811
Giani,магазин мужской обуви,Обувные магазины; Солнцезащитные очки,"улица Жолдасбекова, 9а",161 бутик; 1 этаж,050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,1,87054252390,,,,,http://domshoeskz.taplink.ws,,https://instagram.com/gianikz,,,,https://wa.me/77054252390,,,,,,43.234604,76.955702,https://2gis.com/firm/70000001068971198
Fabio Lucceti,бутик мужской одежды,Обувные магазины; Мужская одежда; Часы / Аксессуары,"улица Кабдолова, 1",26 бутик; А линия; 12 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,1.0,2,87087371511,,,,,,,https://instagram.com/fabio_luceti,,,,https://wa.me/77087371511,,,,,,43.238945,76.858058,https://2gis.com/firm/70000001039831080
Arcobaleno,магазин обуви,Обувные магазины; Мужская одежда; Спортивная одежда / обувь,"улица Кунаева, 43",419 офис; 3 этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,5.0,1,87782411092,87087729394,,,,,,https://instagram.com/arcobaleno__kz,,,,https://wa.me/77782411092,https://wa.me/77087729394,,,,,43.263034,76.948876,https://2gis.com/firm/70000001077910972
Deville,бутик женской одежды,Обувные магазины; Женская одежда; Сумки / Кожгалантерея,"улица Кабдолова, 1",25 бутик; D линия; 9 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.4,3,,,,,,,,https://instagram.com/deville.kz,,,,https://wa.me/77018055955,,,,,,43.238586,76.854844,https://2gis.com/firm/70000001048380510
My Brand,магазин мужской одежды,Обувные магазины; Мужская одежда,"проспект Жибек Жолы, 70",210 бутик; 2 этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,,,87782683410,87071784902,,,,,,https://instagram.com/my_brand_210,,,,https://wa.me/77071784902,https://wa.me/77782683410,,,,,43.262128,76.946348,https://2gis.com/firm/70000001050241992
LC Waikiki,,Обувные магазины; Мужская одежда; Женская одежда; Детская одежда; Сумки / Кожгалантерея,"улица Жандосова, 83",,050052,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.9,23,88000704015 (горячая линия),,,,,http://lcwaikiki.kz,,https://instagram.com/lcwaikiki.cis,,https://facebook.com/LCWaikikiKazakhstan,,,,,,,,43.207732,76.859204,https://2gis.com/firm/70000001071747544
Салон немецкой обуви,,Обувные магазины; Сумки / Кожгалантерея; Обувная косметика / Аксессуары,"улица Ауэзова, 183",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,2.9,15,88000700255,,,,,http://respect.kz,,https://instagram.com/respect_kazakhstan,,,,https://wa.me/77477055555,,,,,,43.22616,76.905479,https://2gis.com/firm/70000001047391165
World step,магазин обуви,Обувные магазины; Сумки / Кожгалантерея,"проспект Суюнбая, 2 к3",1 этаж,050016,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.2,12,,,,,,,,https://instagram.com/worldstepshoes,,,,https://wa.me/77771288333,,,,,,43.271237,76.948353,https://2gis.com/firm/70000001035734370
Qoima,магазин одежды,Обувные магазины; Верхняя одежда; Женская одежда; Мужская одежда,"улица Кабдолова, 1",,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,87756638983,,,,,,,https://instagram.com/qoima_saebiz_look,,,,https://wa.me/77756638983,,,,,,43.239487,76.857245,https://2gis.com/firm/70000001082813441
Diwin,магазин одежды,Обувные магазины; Женская одежда; Мужская одежда,"улица Тулебаева, 35",1 этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,2.6,6,87475000538,,,,,,,https://instagram.com/diwin.woman,,,,https://wa.me/77475000538,,,,,,43.263952,76.94625,https://2gis.com/firm/70000001059173751
SeeALT,сеть магазинов женской одежды и аксессуаров,Обувные магазины; Женская одежда; Сумки / Кожгалантерея; Головные / шейные уборы,"улица Жандосова, 83",1 этаж,050052,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.5,6,,,,info@seealt.kz,,http://seealt.kz,,https://instagram.com/seealt_magazin.kz,,,,,,,,,,43.207402,76.858632,https://2gis.com/firm/70000001048035477
Respect,салоны обуви и аксессуаров,Обувные магазины; Сумки / Кожгалантерея; Обувная косметика / Аксессуары,"проспект Суюнбая, 2 к3",1 этаж,050016,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,2.2,21,88000700255 (единая справочная: пн-вс 9:00-18:00),,,,,http://www.respect.kz,,https://instagram.com/respect_kazakhstan,,https://facebook.com/Respect.shoes.Kazakhstan,,,,,,,,43.271237,76.948353,https://2gis.com/firm/9429940000868398
Kimex,магазин,Обувные магазины; Женская одежда; Мужская одежда; Сумки / Кожгалантерея; Детская одежда,"проспект Абылай хана, 3","7, 19 бутик; 1 этаж",050050,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,1.9,15,87017162649,,,,,http://kimex.kz,,https://instagram.com/kimex_grazie,,,,https://wa.me/77017162649,,,,,,43.272881,76.938393,https://2gis.com/firm/9429940000829728
Night blue,магазин обуви ,Обувные магазины; Сумки / Кожгалантерея,"проспект Абая, 109в",2 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,87080360012,,,,,,,https://instagram.com/night_blue_kz,,,,https://wa.me/77080360012,,,,,,43.240577,76.90602,https://2gis.com/firm/70000001087665584
Rieker,салон обуви и аксессуаров,Обувные магазины; Сумки / Кожгалантерея; Обувная косметика / Аксессуары,"улица Розыбакиева, 247а",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.7,19,88000700255,,,,,http://respect.kz,,https://instagram.com/respect_kazakhstan,,,,https://wa.me/77477055555,,,,,,43.202482,76.890673,https://2gis.com/firm/70000001025193964
